team_id,season,player,num,position,height,weight,birth_date,age,exp,school,player_id
1610612738,2022,Jayson Tatum,0.0,F-G,203.2,95.2543977,1998-03-03,24,5,Duke,1628369
1610612738,2022,Noah Vonleh,4.0,F,208.28,116.57323909,1995-08-24,27,7,Indiana,203943
1610612738,2022,Jaylen Brown,7.0,G-F,198.12,101.15109851,1996-10-24,26,6,California,1627759
1610612738,2022,Danilo Gallinari,8.0,F,208.28,107.04779932,1988-08-08,34,13,Olimpia Milano,201568
1610612738,2022,Derrick White,9.0,G,193.04,86.1825503,1994-07-02,28,5,Colorado,1628401
1610612738,2022,Payton Pritchard,11.0,G,185.42,88.45051215000001,1998-01-28,24,2,Oregon,1630202
1610612738,2022,Grant Williams,12.0,F,198.12,107.04779932,1998-11-30,23,3,Tennessee,1629684
1610612738,2022,Malcolm Brogdon,13.0,G,193.04,103.87265273,1992-12-11,29,6,Virginia,1627763
1610612738,2022,JD Davison,20.0,G,185.42,88.45051215000001,2002-10-03,20,R,Alabama,1631120
1610612738,2022,Mfiondu Kabengele,27.0,C,208.28,113.3980925,1997-08-14,25,2,Florida State,1629662
1610612738,2022,Sam Hauser,30.0,F,200.66,98.42954429,1997-12-08,24,1,Virginia,1630573
1610612738,2022,Marcus Smart,36.0,G,193.04,99.7903214,1994-03-06,28,8,Oklahoma State,203935
1610612738,2022,Luke Kornet,40.0,C-F,218.44,113.3980925,1995-07-15,27,5,Vanderbilt,1628436
1610612738,2022,Al Horford,42.0,C-F,205.74,108.8621688,1986-06-03,36,15,Florida,201143
1610612738,2022,Robert Williams III,44.0,C-F,205.74,107.50139169,1997-10-17,25,4,Texas A&M,1629057
1610612738,2022,Justin Jackson,44.0,F,203.2,99.7903214,1995-03-28,27,5,North Carolina,1628382
1610612738,2022,Blake Griffin,91.0,F,205.74,113.3980925,1989-03-16,33,12,Oklahoma,201933
1610612751,2022,Royce O'Neale,0.0,F,198.12,102.51187562,1993-06-05,29,5,Baylor,1626220
1610612751,2022,T.J. Warren,1.0,F,203.2,99.7903214,1993-09-05,29,7,North Carolina State,203933
1610612751,2022,Edmond Sumner,4.0,G,193.04,88.90410452,1995-12-31,26,4,Xavier,1628410
1610612751,2022,David Duke Jr.,6.0,G,193.04,92.53284348,1999-10-13,23,1,Providence,1630561
1610612751,2022,Kevin Durant,7.0,F,208.28,108.8621688,1988-09-29,34,14,Texas,201142
1610612751,2022,Patty Mills,8.0,G,182.88,81.6466266,1988-08-11,34,13,St. Mary's,201988
1610612751,2022,Ben Simmons,10.0,G-F,208.28,108.8621688,1996-07-20,26,4,Louisiana State,1627732
1610612751,2022,Kyrie Irving,11.0,G,187.96,88.45051215000001,1992-03-23,30,11,Duke,202681
1610612751,2022,Joe Harris,12.0,G-F,198.12,99.7903214,1991-09-06,31,8,Virginia,203925
1610612751,2022,Markieff Morris,13.0,F,205.74,111.13013065,1989-09-02,33,11,Kansas,202693
1610612751,2022,Kessler Edwards,14.0,F,200.66,92.07925111,2000-08-09,22,1,Pepperdine,1630556
1610612751,2022,Yuta Watanabe,18.0,G-F,203.2,97.52235955,1994-10-13,28,4,George Washington,1629139
1610612751,2022,Day'Ron Sharpe,20.0,C,205.74,120.20197805,2001-11-06,21,1,North Carolina,1630549
1610612751,2022,Cam Thomas,24.0,G,190.5,95.2543977,2001-10-13,21,1,Louisiana State,1630560
1610612751,2022,Seth Curry,30.0,G,185.42,83.91458845000001,1990-08-23,32,8,Duke,203552
1610612751,2022,Alondes Williams,31.0,G,193.04,95.2543977,1999-06-19,23,R,Wake Forest,1631214
1610612751,2022,Nic Claxton,33.0,C,210.82,97.52235955,1999-04-17,23,3,Georgia,1629651
1610612752,2022,Cam Reddish,0.0,F-G,200.66,98.42954429,1999-09-01,23,3,Duke,1629629
1610612752,2022,Obi Toppin,1.0,F,205.74,99.7903214,1998-03-04,24,2,Dayton,1630167
1610612752,2022,Miles McBride,2.0,G,187.96,88.45051215000001,2000-09-08,22,1,West Virginia,1630540
1610612752,2022,Trevor Keels,3.0,G,193.04,100.24391377,2003-08-26,19,R,Duke,1631211
1610612752,2022,Derrick Rose,4.0,G,190.5,90.718474,1988-10-04,34,13,Memphis,201565
1610612752,2022,Immanuel Quickley,5.0,G,187.96,86.1825503,1999-06-17,23,2,Kentucky,1630193
1610612752,2022,Quentin Grimes,6.0,G,195.58,95.2543977,2000-05-08,22,1,Houston,1629656
1610612752,2022,RJ Barrett,9.0,F-G,198.12,97.06876718,2000-06-14,22,3,Duke,1629628
1610612752,2022,Jalen Brunson,11.0,G,187.96,86.1825503,1996-08-31,26,4,Villanova,1628973
1610612752,2022,Evan Fournier,13.0,G-F,198.12,92.98643585,1992-10-29,30,10,Poitiers Basket 86,203095
1610612752,2022,Svi Mykhailiuk,17.0,G-F,200.66,92.98643585,1997-06-10,25,4,Kansas,1629004
1610612752,2022,Mitchell Robinson,23.0,C-F,213.36,108.8621688,1998-04-01,24,4,Western Kentucky,1629011
1610612752,2022,Julius Randle,30.0,F-C,203.2,113.3980925,1994-11-29,27,8,Kentucky,203944
1610612752,2022,Feron Hunt,44.0,F,203.2,88.45051215000001,1999-07-05,23,1,Southern Methodist,1630624
